,Time,Power cooling,Pcooling,Ti,To,Condensator,Tr,Airflow,Pserver
28899,2019-07-27T06:18:02+02:00,4344.0,23300.0,13.2,24.3,4.0,22.87,676.8,6328.0
28900,2019-07-27T06:18:03+02:00,,23300.0,13.1,24.3,4.0,22.87,676.8,6345.0
28901,2019-07-27T06:18:04+02:00,4328.0,,13.2,24.3,4.0,22.87,676.8,6286.0
28902,2019-07-27T06:18:05+02:00,4313.0,23300.0,13.1,24.3,4.0,22.87,665.0,6284.0
28903,2019-07-27T06:18:06+02:00,4300.0,23300.0,13.1,,4.0,22.87,665.0,6306.0
28904,2019-07-27T06:18:07+02:00,4288.0,23300.0,,24.3,4.0,22.87,665.0,6335.0
28905,2019-07-27T06:18:08+02:00,4280.0,23300.0,13.2,24.3,4.0,22.87,,6345.0
28906,2019-07-27T06:18:09+02:00,4274.0,23300.0,13.1,24.3,4.0,22.87,665.0,6450.0
28907,2019-07-27T06:18:10+02:00,4269.0,23300.0,13.2,24.3,4.0,22.87,676.8,6431.0
28908,2019-07-27T06:18:11+02:00,4264.0,,13.2,24.3,4.0,22.87,676.8,6414.0
28909,2019-07-27T06:18:12+02:00,4262.0,23300.0,13.2,24.3,4.0,22.87,676.8,6424.0
28910,2019-07-27T06:18:13+02:00,4262.0,23300.0,13.2,,4.0,22.87,676.8,6441.0
28911,2019-07-27T06:18:14+02:00,4263.0,23300.0,,24.3,4.0,22.87,676.8,6354.0
28912,2019-07-27T06:18:15+02:00,4266.0,23300.0,13.2,24.3,4.0,22.87,,6397.0
28913,2019-07-27T06:18:16+02:00,4270.0,23300.0,13.2,24.3,4.0,22.87,676.8,6311.0
28914,2019-07-27T06:18:17+02:00,4275.0,23300.0,13.2,24.4,4.0,22.87,676.8,6230.0
28915,2019-07-27T06:18:18+02:00,4284.0,,13.2,24.4,4.0,22.87,676.8,6293.0
28916,2019-07-27T06:18:19+02:00,4295.0,23300.0,13.2,24.4,4.0,22.87,676.8,6225.0
28917,2019-07-27T06:18:20+02:00,4302.0,23300.0,13.2,24.4,4.0,22.87,676.8,6298.0
28918,2019-07-27T06:18:21+02:00,4309.0,23300.0,,,4.0,22.87,665.0,6257.0
28919,2019-07-27T06:18:22+02:00,4317.0,23300.0,13.2,24.4,4.0,22.87,665.0,6176.0
